hgnc_id	gene_symbol	ncbi_gene_id	ensembl_gene_id	ucsc_id	refseq_accession	ensembl_transcript_id	uniprot_id
14638	ABCA13	154664	ENSG00000179869	uc003toq.2	NM_152701	ENST00000435803	Q86UQ4
34405	ABCA15P	400508	ENSG00000189149	uc010bwr.2	NR_026675		
32972	ABCA17P	650655	ENSG00000238098		NR_003574		
40	ABCB1	5243	ENSG00000085563	uc003uiz.3	NM_000927	ENST00000622132	P08183
45	ABCB4	5244	ENSG00000005471	uc003uix.1	NM_000443	ENST00000649586	P21439
46	ABCB5	340273	ENSG00000004846	uc010kuh.4	NM_178559	ENST00000404938	Q2M3G0
47	ABCB6	10058	ENSG00000115657	uc002vkc.3	NM_005689	ENST00000265316	Q9NP58
48	ABCB7	22	ENSG00000131269	uc004ebz.5	NM_004299	ENST00000373394	O75027
49	ABCB8	11194	ENSG00000197150	uc003wik.6	NM_007188	ENST00000358849	Q9NUT2
50	ABCB9	23457	ENSG00000150967	uc058upb.1	NM_019624	ENST00000280560	Q9NP78
41	ABCB10	23456	ENSG00000135776	uc001htp.4	NM_012089	ENST00000344517	Q9NRK6
14114	ABCB10P1	56476	ENSG00000274099		NG_005041		
31129	ABCB10P3	728248	ENSG00000261524		NG_022122		
31130	ABCB10P4	100132289	ENSG00000260053		NG_022102		
42	ABCB11	8647	ENSG00000073734	uc002ueo.2	NM_003742	ENST00000650372	O95342
51	ABCC1	4363	ENSG00000103222	uc010bvi.4	NM_004996	ENST00000399410	P33527
53	ABCC2	1244	ENSG00000023839	uc001kqf.3	NM_000392	ENST00000647814	Q92887
54	ABCC3	8714	ENSG00000108846	uc002isl.4	NM_020038	ENST00000285238	O15438
55	ABCC4	10257	ENSG00000125257	uc001vmd.5	NM_005845	ENST00000645237	O15439
56	ABCC5	10057	ENSG00000114770	uc003fmg.4	NM_005688	ENST00000334444	O15440
40055	ABCC5-AS1	100873982	ENSG00000223882	uc031scp.1	NR_046570		
57	ABCC6	368	ENSG00000091262	uc002den.5	NM_001079528	ENST00000205557	O95255
33352	ABCC6P1	653190	ENSG00000256340		NR_003569		
33353	ABCC6P2	730013	ENSG00000255277		NR_023387		
59	ABCC8	6833	ENSG00000006071	uc001mnc.4	NM_000352	ENST00000389817	Q09428
60	ABCC9	10060	ENSG00000069431	uc001rfi.2	NM_005691	ENST00000261200	O60706
52	ABCC10	89845	ENSG00000124574	uc003ouz.1	NM_033450	ENST00000372530	Q5T3U5
14639	ABCC11	85320	ENSG00000121270	uc059txd.1	NM_032583	ENST00000356608	Q96J66
14640	ABCC12	94160	ENSG00000140798	uc002efc.1	NM_033226	ENST00000311303	Q96J65
16022	ABCC13	150000	ENSG00000243064		NR_003087		
61	ABCD1	215	ENSG00000101986	uc004fif.2	NM_000033	ENST00000218104	P33897
62	ABCD1P1	23785			NG_001246		
63	ABCD1P2	26983	ENSG00000215151		NG_001270		
64	ABCD1P3	26982	ENSG00000261233		NG_001269		
65	ABCD1P4	26957	ENSG00000225293		NG_001265		
42662	ABCD1P5	642762	ENSG00000214330		NG_006974		
66	ABCD2	225	ENSG00000173208	uc001rmb.3	NM_005164	ENST00000308666	Q9UBJ2
67	ABCD3	5825	ENSG00000117528	uc001dqn.5	NM_002858	ENST00000370214	P28288
68	ABCD4	5826	ENSG00000119688	uc001xpr.3	NM_005050	ENST00000356924	O14678
69	ABCE1	6059	ENSG00000164163	uc003ijy.4	NM_002940	ENST00000296577	P61221
58656	ABCE1P1	442517	ENSG00000224785		NG_022530		
58657	ABCE1P2	647150	ENSG00000226723		NG_022748		
58658	ABCE1P3		ENSG00000236792				
70	ABCF1	23	ENSG00000204574	uc003nql.4	NM_001025091	ENST00000326195	Q8NE71
53628	ABCF1-DT	107986587			XR_001756540		
71	ABCF2	10061	ENSG00000033050	uc003wjp.5	NM_005692	ENST00000287844	Q9UG63
54751	ABCF2-H2BK1	114483834	ENSG00000285292		NM_005692		
48841	ABCF2P1	344653	ENSG00000242159		NG_022253		
48842	ABCF2P2	100422059	ENSG00000228769		NG_026596		
72	ABCF3	55324	ENSG00000161204	uc003fmz.3	NM_018358	ENST00000429586	Q9NUQ8
73	ABCG1	9619	ENSG00000160179	uc002zaq.4	NM_207174	ENST00000398449	P45844
74	ABCG2	9429	ENSG00000118777	uc003hrg.4	NM_004827	ENST00000237612	Q9UNQ0
13884	ABCG4	64137	ENSG00000172350	uc031yhk.2	NM_022169	ENST00000619701	Q9H172
13886	ABCG5	64240	ENSG00000138075	uc002rtn.3	NM_022436	ENST00000405322	Q9H222
13887	ABCG8	64241	ENSG00000143921	uc002rtq.3	NM_022437	ENST00000272286	Q9H221
17553	ABHD1	84696	ENSG00000143994	uc002rit.4	NM_032604	ENST00000316470	Q96SE0
18717	ABHD2	11057	ENSG00000140526	uc002bnk.2	NM_001416412	ENST00000352732	P08910
18718	ABHD3	171586	ENSG00000158201	uc002ktl.2	NM_001308256	ENST00000289119	Q8WU67
20154	ABHD4	63874	ENSG00000100439	uc001wgm.4	NM_001392009	ENST00000428304	
21396	ABHD5	51099	ENSG00000011198	uc003cmx.4	NM_016006	ENST00000644371	Q8WTS1
21398	ABHD6	57406	ENSG00000163686	uc003djt.5	NM_020676	ENST00000478253	Q9BV23
23759	ABHD8	79575	ENSG00000127220	uc002ngb.4	NM_024527	ENST00000247706	Q96I13
25656	ABHD10	55347	ENSG00000144827	uc003dyk.6	NM_018394	ENST00000273359	Q9NUJ1
16407	ABHD11	83451	ENSG00000106077	uc003tzb.4	NM_001145364	ENST00000222800	Q8NFV4
15868	ABHD12	26090	ENSG00000100997	uc002wus.3	NM_015600	ENST00000339157	Q8N2K0
19837	ABHD12B	145447	ENSG00000131969	uc001wyr.3	NM_001206673	ENST00000337334	Q7Z5M8
20293	ABHD13	84945	ENSG00000139826	uc001vqq.4	NM_032859	ENST00000375898	Q7L211
24538	ABHD14A	25864	ENSG00000248487	uc003dco.4	NM_015407	ENST00000273596	Q9BUJ0
38856	ABHD14A-ACY1	100526760	ENSG00000114786	uc062kji.1	NM_001316331		
28235	ABHD14B	84836	ENSG00000114779	uc003dcn.3	NM_032750	ENST00000361143	Q96IU4
26971	ABHD15	116236	ENSG00000168792	uc002hed.3	NM_198147	ENST00000307201	Q6UXT9
49685	ABHD15-AS1	104355133	ENSG00000264031				
13921	ABHD16A	7920	ENSG00000204427	uc003nvy.3	NM_001177515	ENST00000395952	O95870
59161	ABHD16A-AS1	105375018					
16128	ABHD16B	140701	ENSG00000183260	uc002ygx.3	NM_080622	ENST00000369916	Q9H3Z7
58392	ABHD16B-AS1	112268269	ENSG00000268858		NR_165198		
28756	ABHD17A	81926	ENSG00000129968	uc002lug.4	NM_031213	ENST00000292577	Q96GS6
28394	ABHD17AP1	728917	ENSG00000198658		NG_011738		
34041	ABHD17AP3	648359	ENSG00000250536		XR_041784		
34042	ABHD17AP4	729495	ENSG00000229107		NG_023156		
34043	ABHD17AP5	91219	ENSG00000263366		NG_000002		
34044	ABHD17AP6	644988	ENSG00000226981		NG_022988		
38508	ABHD17AP7	100133212	ENSG00000260864		NG_022980		
38509	ABHD17AP8	647144	ENSG00000260540		NG_023021		
38510	ABHD17AP9	100132251	ENSG00000261536		NG_028293		
24278	ABHD17B	51104	ENSG00000107362	uc004ail.4	NM_016014	ENST00000333421	Q5VST6
26925	ABHD17C	58489	ENSG00000136379	uc002bfu.4	NM_021214	ENST00000258884	Q6PCB6
26111	ABHD18	80167	ENSG00000164074		NM_001039717	ENST00000645843	Q0P651
11320	ABI1	10006	ENSG00000136754	uc001isx.4	NM_005470	ENST00000376140	Q8IZP0
20035	ABI1P1	326268	ENSG00000271484		NG_002531		
24011	ABI2	10152	ENSG00000138443	uc002uzz.5	NM_005759	ENST00000261018	Q9NYB9
29859	ABI3	51225	ENSG00000108798	uc002iop.1	NM_016428	ENST00000225941	Q9P2A4
17265	ABI3BP	25890	ENSG00000154175	uc003dun.4	NM_001349329	ENST00000471714	Q7Z7G0
1364	ABITRAM	54942	ENSG00000119328	uc004bdn.4	NM_017832	ENST00000322940	Q9NX38
39851	ABITRAMP1	390403	ENSG00000251106		NG_011392		
76	ABL1	25	ENSG00000097007	uc004bzv.4	NM_007313	ENST00000318560	P00519
77	ABL2	27	ENSG00000143322	uc001gmj.5	NM_005158	ENST00000502732	P42684
78	ABLIM1	3983	ENSG00000099204	uc057wcy.1	NM_001003407	ENST00000533213	O14639
19195	ABLIM2	84448	ENSG00000163995	uc003gkj.5	NM_001130083	ENST00000447017	Q6H8Q1
58727	ABLIM2-DT		ENSG00000290015				
29132	ABLIM3	22885	ENSG00000173210	uc003lpy.3	NM_014945	ENST00000309868	O94929
79	ABO	28	ENSG00000175164	uc064wua.1	NM_020469		P16442
81	ABR	29	ENSG00000159842	uc002fsd.6	NM_001092	ENST00000302538	Q12979
55674	ABR-AS1	105371479	ENSG00000235361		NR_187271		
30655	ABRA	137735	ENSG00000174429	uc003ymm.5	NM_139166	ENST00000311955	Q8N0Z2
21230	ABRACL	58527	ENSG00000146386	uc003qil.2	NM_021243	ENST00000367660	Q9P1F3
25829	ABRAXAS1	84142	ENSG00000163322	uc003hou.3	NM_139076	ENST00000321945	Q6UWZ7
56461	ABRAXAS1P1	100421580	ENSG00000213431		NG_025605		
56462	ABRAXAS1P2	100133073	ENSG00000253384		NG_022380		
28975	ABRAXAS2	23172	ENSG00000165660	uc001lib.4	NM_032182	ENST00000298492	Q15018
17369	ABT1	29777	ENSG00000146109	uc003nii.4	NM_013375	ENST00000274849	Q9ULW3
39557	ABT1P1	100420695	ENSG00000250496		NG_025142		
18275	ABTB1	80325	ENSG00000114626	uc003ejt.4	NM_172027	ENST00000232744	Q969K4
23842	ABTB2	25841	ENSG00000166016	uc001mvl.3	NM_145804	ENST00000435224	Q8N961
23844	ABTB3	121551	ENSG00000151136	uc001tmk.2	NM_152322	ENST00000280758	A6QL63
82	ACAA1	30	ENSG00000060971	uc003cht.4	NM_001607	ENST00000333167	P09110
83	ACAA2	10449	ENSG00000167315	uc002ldw.5	NM_006111	ENST00000285093	P42765
55880	ACAA2P1	100420869	ENSG00000233585		NG_026698		
84	ACACA	31	ENSG00000278540	uc284osy.1	NM_198836	ENST00000616317	Q13085
85	ACACB	32	ENSG00000076555	uc001tob.4	NM_001093	ENST00000338432	O00763
87	ACAD8	27034	ENSG00000151498	uc001qhk.4	NM_014384	ENST00000281182	Q9UKU7
21497	ACAD9	28976	ENSG00000177646	uc003ela.5	NM_014049	ENST00000308982	Q9H845
56086	ACAD9-DT	123706524	ENSG00000287110		NR_186174		
21597	ACAD10	80724	ENSG00000111271	uc009zvx.4	NM_025247	ENST00000313698	Q6JQN1
30211	ACAD11	84129	ENSG00000240303	uc003eov.5	NM_032169	ENST00000264990	Q709F0
88	ACADL	33	ENSG00000115361	uc002vdz.5	NM_001608	ENST00000233710	P28330
89	ACADM	34	ENSG00000117054	uc001dgw.6	NM_000016	ENST00000370841	P11310
90	ACADS	35	ENSG00000122971	uc001tza.5	NM_000017	ENST00000242592	P16219
91	ACADSB	36	ENSG00000196177	uc001lhb.4	NM_001609	ENST00000358776	P45954
92	ACADVL	37	ENSG00000072778	uc002gev.5	NM_000018	ENST00000356839	P49748
319	ACAN	176	ENSG00000157766	uc010upo.1	NM_001135	ENST00000560601	P16112
16467	ACAP1	9744	ENSG00000072818	uc002ggd.3	NM_014716	ENST00000158762	Q15027
16469	ACAP2	23527	ENSG00000114331	uc003fun.5	NM_012287	ENST00000326793	Q15057
41426	ACAP2-IT1	100874306	ENSG00000229325	uc062rqs.1			
16754	ACAP3	116983	ENSG00000131584	uc001aeb.3	NM_030649	ENST00000354700	Q96P50
93	ACAT1	38	ENSG00000075239	uc001pjy.4	NM_000019	ENST00000265838	P24752
94	ACAT2	39	ENSG00000120437	uc010kjy.4	NM_005891	ENST00000367048	Q9BWD1
15453	ACBD3	64746	ENSG00000182827	uc001hpy.4	NM_022735	ENST00000366812	Q9H3P7
40701	ACBD3-AS1	107985353	ENSG00000234478		NR_146443		
23337	ACBD4	79777	ENSG00000181513	uc002iic.4	NM_024722	ENST00000321854	Q8NC06
23338	ACBD5	91452	ENSG00000107897	uc001ito.4	NM_145698	ENST00000396271	Q5T8D3
23339	ACBD6	84320	ENSG00000230124	uc001gog.4	NM_032360	ENST00000367595	Q9BR61
17715	ACBD7	414149	ENSG00000176244	uc001inv.4	NM_001039844	ENST00000356189	Q8N6N7
58659	ACBD7P1	100128086	ENSG00000225531		NG_021675		
23989	ACCS	84680	ENSG00000110455	uc001mxx.3	NM_032592	ENST00000263776	Q96QU6
34391	ACCSL	390110	ENSG00000205126	uc001mxw.1	NM_001031854	ENST00000378832	Q4AC99
56899	ACCSLP1	100422646	ENSG00000230570		NG_025783		
25070	ACD	65057	ENSG00000102977	uc002etp.5	NM_022914	ENST00000620761	Q96AP0
2707	ACE	1636	ENSG00000159640	uc002jau.4	NM_000789	ENST00000290866	P12821
13557	ACE2	59272	ENSG00000130234	uc004cxb.2	NM_001371415	ENST00000252519	Q9BYF1
56255	ACE2-DT	104798195	ENSG00000225833		NR_126564		
44365	ACE3P	100129123	ENSG00000224353		NG_016186		
18356	ACER1	125981	ENSG00000167769	uc002mel.3	NM_133492	ENST00000301452	Q8TDN7
23675	ACER2	340485	ENSG00000177076	uc003zny.2	NM_001010887	ENST00000340967	Q5QJU3
54674	ACER2P1	645978	ENSG00000180105		NG_030142		
16066	ACER3	55331	ENSG00000078124	uc009yum.2	NM_018367	ENST00000532485	Q9NUN7
58067	ACER3-AS1	124902721	ENSG00000254988		XR_007062790		
108	ACHE	43	ENSG00000087085	uc003uxi.4	NM_015831	ENST00000241069	P22303
17066	ACIN1	22985	ENSG00000100813	uc001wit.5	NM_014977	ENST00000605057	Q9UKV3
4035	ACKR1	2532	ENSG00000213088		NM_002036	ENST00000368122	Q16570
1565	ACKR2	1238	ENSG00000144648		NM_001296	ENST00000422265	O00590
23692	ACKR3	57007	ENSG00000144476		NM_020311	ENST00000272928	P25106
1611	ACKR4	51554	ENSG00000129048		NM_016557	ENST00000249887	Q9NPB9
21142	ACKR4P1	285737	ENSG00000225415		XM_208346		
13708	ACKR5	11318	ENSG00000166856	uc001smk.4	NM_007264	ENST00000300098	O15218
115	ACLY	47	ENSG00000131473	uc002hyg.4	NM_001096	ENST00000352035	P53396
19288	ACMSD	130013	ENSG00000153086	uc002ttz.4	NM_001307983	ENST00000356140	Q8TDX5
34504	ACNATP	347275	ENSG00000227411		NG_023464		
117	ACO1	48	ENSG00000122729	uc003zqw.5	NM_002197	ENST00000309951	P21399
118	ACO2	50	ENSG00000100412	uc003bac.3	NM_001098	ENST00000216254	Q99798
56989	ACO2P1	441996	ENSG00000235485		NG_022871		
56990	ACO2P2	343508	ENSG00000235371		NG_029282		
33904	ACOD1	730249	ENSG00000102794	uc031qmi.3	NM_001258406	ENST00000377462	A6NK06
33128	ACOT1	641371	ENSG00000184227	uc001xol.2	NM_001037161	ENST00000311148	Q86TX2
18431	ACOT2	10965	ENSG00000119673	uc059ddl.1	NM_006821	ENST00000238651	P49753
19748	ACOT4	122970	ENSG00000177465	uc001xoo.4	NM_152331	ENST00000326303	Q8N9L9
58578	ACOT4P1	644189	ENSG00000267142		NR_033748		
33159	ACOT6	641372	ENSG00000205669	uc001xop.3	NM_001037162	ENST00000645972	Q3I5F7
24157	ACOT7	11332	ENSG00000097021	uc001ams.4	NM_007274	ENST00000361521	O00154
15919	ACOT8	10005	ENSG00000101473	uc002xqa.3	NM_183386	ENST00000217455	O14734
17152	ACOT9	23597	ENSG00000123130	uc004dap.4	NM_012332	ENST00000379303	Q9Y305
18156	ACOT11	26027	ENSG00000162390	uc001cxm.3	NM_015547	ENST00000343744	Q8WXI4
24436	ACOT12	134526	ENSG00000172497	uc003khl.5	NM_130767	ENST00000307624	Q8WYK0
59089	ACOT12-DT		ENSG00000300735				
20999	ACOT13	55856	ENSG00000112304	uc003nek.4	NM_018473	ENST00000230048	Q9NPJ3
119	ACOX1	51	ENSG00000161533	uc002jqe.5	NM_001185039	ENST00000293217	Q15067
120	ACOX2	8309	ENSG00000168306	uc003dkl.4	NM_003500	ENST00000302819	Q99424
121	ACOX3	8310	ENSG00000087008	uc003glc.5	NM_001101667	ENST00000356406	O15254
25621	ACOXL	55289	ENSG00000153093	uc021vmm.2	NM_018308	ENST00000439055	Q9NUZ1
41112	ACOXL-AS1	400997	ENSG00000204581		NR_122074		
122	ACP1	52	ENSG00000143727	uc002qwg.4	NM_004300	ENST00000272065	P24666
123	ACP2	53	ENSG00000134575	uc001nei.3	NM_001610	ENST00000672073	P11117
125	ACP3	55	ENSG00000014257	uc010htp.3	NM_001099	ENST00000336375	P15309
14376	ACP4	93650	ENSG00000142513	uc002pta.1	NM_033068	ENST00000270593	Q9BZG2
124	ACP5	54	ENSG00000102575	uc002msi.5	NM_001111034	ENST00000648477	P13686
29609	ACP6	51205	ENSG00000162836	uc001epr.3	NM_016361	ENST00000583509	Q9NPH0
33781	ACP7	390928	ENSG00000183760		NM_001004318	ENST00000331256	Q6ZNF0
126	ACR	49	ENSG00000100312	uc003bnh.5	NM_001097	ENST00000216139	P10323
17195	ACRBP	84519	ENSG00000111644	uc001qpu.2	NM_032489	ENST00000229243	Q8NEB7
54745	ACRP1	645529	ENSG00000175509		NG_021518		
127	ACRV1	56	ENSG00000134940	uc001qcs.4	NM_001612	ENST00000533904	P26436
29567	ACSBG1	23205	ENSG00000103740	uc002bdh.4	NM_015162	ENST00000258873	Q96GR2
24174	ACSBG2	81616	ENSG00000130377	uc002mef.3	NM_030924	ENST00000588485	Q5FVE4
26101	ACSF2	80221	ENSG00000167107	uc002iqu.4	NM_025149	ENST00000300441	Q96CM8
27288	ACSF3	197322	ENSG00000176715	uc021tmq.2	NM_174917	ENST00000614302	Q4G176
3569	ACSL1	2180	ENSG00000151726	uc063biw.1	NM_001995	ENST00000281455	P33121
58916	ACSL1-DT	105377587	ENSG00000286256				
3570	ACSL3	2181	ENSG00000123983	uc002vni.4	NM_004457	ENST00000357430	O95573
40227	ACSL3-AS1	105373904	ENSG00000234193		XR_923949		
56529	ACSL3P1	100421637	ENSG00000244062		NG_025745		
3571	ACSL4	2182	ENSG00000068366	uc004eoi.3	NM_004458	ENST00000672401	O60488
16526	ACSL5	51703	ENSG00000197142	uc001kzs.4	NM_016234	ENST00000354655	Q9ULC5
16496	ACSL6	23305	ENSG00000164398	uc063gss.1	NM_015256	ENST00000651883	Q9UKU0
40772	ACSL6-AS1	101927693	ENSG00000223548		NR_183256		
40773	ACSL6-AS2	124901062	ENSG00000231585				
18049	ACSM1	116285	ENSG00000166743	uc010bwg.2	NM_052956	ENST00000520010	Q08AH1
32017	ACSM2A	123876	ENSG00000183747	uc002dhg.5	NM_001308172	ENST00000573854	Q08AH3
30931	ACSM2B	348158	ENSG00000066813	uc002dhk.5	NM_182617	ENST00000329697	Q68CK6
10522	ACSM3	6296	ENSG00000005187	uc002dhr.4	NM_005622	ENST00000289416	Q53FZ2
32016	ACSM4	341392	ENSG00000215009	uc001qsx.2	NM_001080454	ENST00000399422	P0C7M7
26060	ACSM5	54988	ENSG00000183549	uc002dhe.4	NM_017888	ENST00000331849	Q6NUN0
51295	ACSM5P1	100421779	ENSG00000260762		NG_026352		
31665	ACSM6	142827	ENSG00000173124		NM_207321	ENST00000394005	Q6P461
16091	ACSS1	84532	ENSG00000154930	uc061vwl.1	NM_032501	ENST00000323482	Q9NUB1
15814	ACSS2	55902	ENSG00000131069	uc002xbd.3	NM_018677	ENST00000360596	Q9NR19
24723	ACSS3	79611	ENSG00000111058	uc001szl.2	NM_024560	ENST00000548058	Q9H6R3
58286	ACSS3-AS1	107984535	ENSG00000258026				
129	ACTA1	58	ENSG00000143632	uc001htm.4	NM_001100	ENST00000366684	P68133
130	ACTA2	59	ENSG00000107796	uc001kfq.4	NM_001613	ENST00000224784	P62736
45169	ACTA2-AS1	100132116	ENSG00000180139	uc001kfo.2	NR_125373		
132	ACTB	60	ENSG00000075624	uc003sot.5	NM_001101	ENST00000646664	P60709
17780	ACTBL2	345651	ENSG00000169067	uc003jrm.3	NM_001017992	ENST00000423391	Q562R1
134	ACTBP1	643309	ENSG00000229145		NG_022596		
135	ACTBP2	62	ENSG00000213763		NG_003019		
136	ACTBP3	63			NG_016990		
137	ACTBP4	64	ENSG00000286676		NG_003020		
139	ACTBP6	66	ENSG00000203413		NG_008793		
140	ACTBP7	67	ENSG00000185607		NG_002724		
141	ACTBP8	68	ENSG00000220267		NG_000840		
142	ACTBP9	69	ENSG00000266920		NG_003162		
31819	ACTBP10	446207			NG_032756		
33971	ACTBP11	644220	ENSG00000188460		NG_007577		
150	ACTBP12	100462767	ENSG00000233125		NG_026958		
45086	ACTBP14	389976	ENSG00000229001		NG_022182		
55065	ACTBP15	391334	ENSG00000213857		NG_022872		
56590	ACTBP16	100132223	ENSG00000241473		NG_022284		
143	ACTC1	70	ENSG00000159251	uc001ziu.2	NM_005159	ENST00000290378	P68032
51491	ACTE1P	399923	ENSG00000172900		NR_038862		
144	ACTG1	71	ENSG00000184009	uc002kal.3	NM_001614	ENST00000573283	P63261
146	ACTG1P1	73	ENSG00000178631		NG_001068		
147	ACTG1P2	74	ENSG00000229129		NG_004636		
148	ACTG1P3	75	ENSG00000215388		NG_000842		
149	ACTG1P4	648740	ENSG00000236085		NR_024438		
151	ACTG1P6	78					
152	ACTG1P7	79					
153	ACTG1P8	80					
154	ACTG1P9	82	ENSG00000229349		NG_001069		
155	ACTG1P10	83	ENSG00000231340		NG_003039		
37651	ACTG1P11	414754	ENSG00000229465		NG_004636		
44496	ACTG1P12	100418921	ENSG00000226642		NG_011728		
49058	ACTG1P13	100418920	ENSG00000241305		NG_025603		
49751	ACTG1P14	100418910	ENSG00000230581		NG_023870		
51495	ACTG1P15	100418951	ENSG00000259904		NG_025296		
51496	ACTG1P16	100418960	ENSG00000260298		NG_026370		
51497	ACTG1P17	283693	ENSG00000259315		NR_036446		
51498	ACTG1P18	100418924	ENSG00000218475		NG_025850		
51499	ACTG1P19	644160	ENSG00000237999		NG_021670		
51500	ACTG1P20	644961	ENSG00000241547		NR_033926		
51501	ACTG1P21	100131291	ENSG00000232672		NG_022723		
51502	ACTG1P22	100131953	ENSG00000271615		NG_021565		
51503	ACTG1P23	442097	ENSG00000230362		NG_022227		
49661	ACTG1P24	441783	ENSG00000226359		NG_022456		
54872	ACTG1P25	148709	ENSG00000234996		NR_002929		
145	ACTG2	72	ENSG00000163017	uc002sjw.4	NM_001615	ENST00000345517	P63267
